,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
416,0.11706321,0.042739466,0.051370937,0.0522884,0.04938671
417,0.836984,0.85539067,0.880833,0.8606264,0.8606264
418,0.09385793,0.08462421,0.064956576,0.07951272,0.057795875
419,0.13360648,0.10657344,0.0448762,0.086767636,0.039197754
420,0.0987709,0.0987709,0.0987709,0.0987709,0.0987709
421,0.05309403,0.05309403,0.05309403,0.05309403,0.05309403
422,0.5252105,0.5610736,0.57272846,0.57894164,0.561305
423,0.5597396,0.28639176,0.3081381,0.34917462,0.3297779
424,0.17889215,0.17889215,0.17889215,0.17889215,0.17889215
425,0.06106974,0.100123465,0.10425726,0.14827491,0.085472554
426,0.058562644,0.085567184,0.085353754,0.11158068,0.08060165
427,0.793083,0.0769522,0.10686469,0.10585118,0.08485786
428,0.11798455,0.07892699,0.09876804,0.11409402,0.09220015
429,0.4895143,0.63518447,0.69542736,0.6604694,0.6364068
430,0.4292376,0.050102673,0.31089434,0.065892935,0.051948432
431,0.30415708,0.080507256,0.09430527,0.10501691,0.105285406
432,0.09226603,0.09226603,0.09226603,0.09226603,0.09226603
433,0.1628375,0.15319951,0.16168848,0.16964665,0.15837178
434,0.24035442,0.24035442,0.24035442,0.24035442,0.24035442
435,0.5932157,0.5654318,0.60470676,0.59856874,0.5971288
436,0.055856306,0.0006458549,0.0016698673,0.0015491933,0.0014744134
437,0.062491838,0.077137046,0.092366844,0.0840444,0.09206541
438,0.21300532,0.09375279,0.051528737,0.09794506,0.037695765
439,0.062083997,0.10657344,0.0448762,0.086767636,0.039197754
440,0.3602763,0.1205284,0.15061869,0.13314337,0.14748438
441,0.13032678,0.13032678,0.13032678,0.13032678,0.13032678
442,0.068249516,0.055763844,0.06241674,0.06565282,0.06257454
443,0.10935152,0.0074081263,0.03156375,0.02757644,0.017720202
444,0.9002991,0.9002991,0.9002991,0.9002991,0.9002991
445,0.6341368,0.063664794,0.06693531,0.1019761,0.060157787
446,0.06174837,0.068573594,0.03438408,0.065683074,0.04073646
447,0.047094602,0.047094602,0.047094602,0.047094602,0.047094602
448,0.023782842,0.023782842,0.023782842,0.023782842,0.023782842
449,0.95880705,0.9613579,0.9611236,0.9611721,0.96134114
450,0.27061006,0.24072261,0.24167658,0.24198832,0.24134558
451,0.7746565,0.53490317,0.5904893,0.5994684,0.5252268
452,0.7210549,0.7210549,0.7210549,0.7210549,0.7210549
453,0.58935887,0.3218817,0.4128015,0.40352193,0.5441335
454,0.13977303,0.14996567,0.13569525,0.136145,0.12551261
455,0.08311843,0.08311843,0.08311843,0.08311843,0.08311843
456,0.38899755,0.118666865,0.12182182,0.14255925,0.113157585
457,0.22001085,0.7684084,0.78814983,0.7860807,0.77579516
458,0.20006678,0.09375279,0.051528737,0.09794506,0.037695765
459,0.73275197,0.1101458,0.17115375,0.1486454,0.14507034
460,0.061646674,0.068573385,0.04546676,0.09097862,0.037535932
461,0.15447703,0.15447703,0.15447703,0.15447703,0.15447703
462,0.62074417,0.6341961,0.63447034,0.60514414,0.58547527
463,0.333811,0.5058873,0.49634612,0.51819557,0.4527462
464,0.04284075,0.064138435,0.03479298,0.061771315,0.03167422
465,0.8749361,0.8749361,0.8749361,0.8749361,0.8749361
466,0.0856715,0.076777264,0.07977216,0.08099602,0.07373506
467,0.1058464,0.1058464,0.1058464,0.1058464,0.1058464
468,0.80578995,0.80578995,0.80578995,0.80578995,0.80578995
469,0.02563725,0.061936524,0.056805618,0.06698442,0.05904986
470,0.770347,0.05089289,0.08032872,0.07935478,0.061195597
471,0.6546367,0.6546367,0.6546367,0.6546367,0.6546367
472,0.7216701,0.21299684,0.2643179,0.25547817,0.24354394
473,0.07214073,0.059950348,0.06668509,0.070040815,0.060576636
474,0.017712155,0.017712155,0.017712155,0.017712155,0.017712155
475,0.08537037,0.08122031,0.059885275,0.09734132,0.057018388
476,0.05428824,0.07685864,0.057730194,0.08074672,0.051494267
477,0.8723443,0.058616363,0.058134854,0.07697412,0.06037487
478,0.09380265,0.1293965,0.13370016,0.16002738,0.07801269
479,0.9595688,0.9525036,0.9594616,0.9590444,0.95262015
480,0.15422982,0.074673094,0.08113501,0.118426695,0.05522892
481,0.46107864,0.022239255,0.049524784,0.046776738,0.060014248
482,0.050849423,0.05297843,0.04525556,0.06566202,0.042360164
483,0.7370787,0.0898314,0.06674,0.09237338,0.061239626
484,0.3904488,0.07019144,0.06216813,0.0826725,0.067931585
485,0.2620965,0.050388202,0.052399904,0.073738515,0.06298119
486,0.12767126,0.10207181,0.11124806,0.13904251,0.08938591
487,0.13128279,0.058187786,0.09090374,0.09648656,0.07950782
488,0.3195157,0.037684567,0.05531785,0.062000707,0.052326713
489,0.1440664,0.1440664,0.1440664,0.1440664,0.1440664
490,0.69542736,0.69542736,0.69542736,0.69542736,0.69542736
491,0.556069,0.556069,0.556069,0.556069,0.556069
492,0.18118003,0.18118003,0.18118003,0.18118003,0.18118003
493,0.314754,0.314754,0.314754,0.314754,0.314754
494,0.38749024,0.06904351,0.077933654,0.080109365,0.071357146
495,0.7403211,0.8060606,0.88824683,0.8785311,0.856585
496,0.27854687,0.0745055,0.048788954,0.08105657,0.044852436
497,0.24028671,0.101071194,0.07418459,0.09085991,0.0739493
498,0.8355208,0.88824683,0.9085476,0.8962681,0.8606264
499,0.06647454,0.07097973,0.07356164,0.079964526,0.068816885
500,0.6364068,0.54669327,0.6013085,0.5876557,0.57755166
501,0.03911824,0.03911824,0.03911824,0.03911824,0.03911824
502,0.12929781,0.12929781,0.12929781,0.12929781,0.12929781
503,0.5840784,0.5840784,0.5840784,0.5840784,0.5840784
504,0.19013868,0.110744506,0.12585789,0.15526472,0.11571899
505,0.1284585,0.07383945,0.09302745,0.11867034,0.07956968
506,0.60274905,0.60274905,0.60274905,0.60274905,0.60274905
507,0.14980036,0.14980036,0.14980036,0.14980036,0.14980036
508,0.16372108,0.077959046,0.08570044,0.08493804,0.08500155
509,0.06644128,0.08273443,0.08589759,0.11715089,0.061227597
510,0.102069944,0.09096222,0.09470446,0.10818934,0.10053745
511,0.72979426,0.05429775,0.032839853,0.075768694,0.034946278
512,0.052613165,0.070661224,0.051463626,0.105867356,0.0558969
513,0.1716584,0.069268025,0.07265612,0.0852271,0.076081194
514,0.8606264,0.8606264,0.8606264,0.8606264,0.8606264
515,0.40335795,0.40335795,0.40335795,0.40335795,0.40335795
516,0.082520425,0.11237046,0.07864267,0.1362375,0.114921615
517,0.18642497,0.18642497,0.18642497,0.18642497,0.18642497
518,0.4031252,0.5721978,0.6617058,0.62151086,0.6400845
519,0.37757698,0.19517893,0.08537676,0.21391428,0.09504989
520,0.15715972,0.052153967,0.037128568,0.040692005,0.033007473
521,0.15508263,0.15508263,0.15508263,0.15508263,0.15508263
522,0.7453135,0.7453135,0.7453135,0.7453135,0.7453135
523,0.04308006,0.04308006,0.04308006,0.04308006,0.04308006
524,0.078011766,0.08376546,0.05300708,0.087152705,0.05693189
525,0.24737886,0.24737886,0.24737886,0.24737886,0.24737886
