,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
526,0.10887836,0.10887836,0.10887836,0.10887836,0.10887836
527,0.58600366,0.55233985,0.6364068,0.6641492,0.57234037
528,0.6396545,0.114307255,0.08747344,0.15830873,0.0737703
529,0.7093121,0.7093121,0.7093121,0.7093121,0.7093121
530,0.7178322,0.7178322,0.7178322,0.7178322,0.7178322
531,0.16770281,0.07401995,0.061419018,0.0813241,0.047932718
532,0.08250706,0.13779822,0.11081932,0.13774918,0.102019615
533,0.5354227,0.15352571,0.1690994,0.16015562,0.1810762
534,0.106590554,0.100658886,0.06882062,0.088742636,0.07307583
535,0.12669185,0.058244057,0.053444006,0.060499243,0.046614513
536,0.77062345,0.77062345,0.77062345,0.77062345,0.77062345
537,0.19431098,0.31089434,0.29736337,0.31089434,0.34955907
538,0.16677997,0.16677997,0.16677997,0.16677997,0.16677997
539,0.8485721,0.9509264,0.9613672,0.9588517,0.9483433
540,0.53490317,0.53490317,0.53490317,0.53490317,0.53490317
541,0.2898656,0.2898656,0.2898656,0.2898656,0.2898656
542,0.48902115,0.08279639,0.09126473,0.1110627,0.08502828
543,0.32535014,0.13703173,0.11158334,0.16659038,0.086067505
544,0.063944384,0.063944384,0.063944384,0.063944384,0.063944384
545,0.08370205,0.08370205,0.08370205,0.08370205,0.08370205
546,0.07556654,0.07556654,0.07556654,0.07556654,0.07556654
547,0.0710686,0.06294793,0.068559274,0.080637515,0.06858412
548,0.055231333,0.055231333,0.055231333,0.055231333,0.055231333
549,0.24256878,0.19562224,0.18386878,0.18672378,0.20137607
550,0.05253272,0.061978474,0.053229917,0.08239457,0.043659136
551,0.9083558,0.9083558,0.9083558,0.9083558,0.9083558
552,0.7221284,0.28961313,0.35042202,0.35127014,0.31089434
553,0.17968573,0.1518142,0.15848649,0.15476897,0.15074605
554,0.12297418,0.111710116,0.14997984,0.16025446,0.14913596
555,0.44339734,0.44339734,0.44339734,0.44339734,0.44339734
556,0.18279289,0.015666613,0.0339673,0.025620306,0.030546172
557,0.44553643,0.08888849,0.07919705,0.11486133,0.07154393
558,0.90180296,0.92880625,0.92489636,0.91784006,0.9274606
559,0.8060606,0.2267832,0.2415311,0.24229005,0.17998601
560,0.061077062,0.050538857,0.04769704,0.06428447,0.04394263
561,0.8689309,0.8689309,0.8689309,0.8689309,0.8689309
562,0.14894974,0.092519745,0.11771256,0.13063745,0.13178079
563,0.104076914,0.053155813,0.08381724,0.09524577,0.06654155
564,0.0811482,0.06176074,0.063426316,0.058157332,0.05648562
565,0.1417174,0.1417174,0.1417174,0.1417174,0.1417174
566,0.04494736,0.07601148,0.05620253,0.10438446,0.04109761
567,0.2845025,0.09084023,0.1414149,0.109394826,0.02056379
568,0.13124745,0.099541485,0.10862935,0.1050954,0.09309122
569,0.9398852,0.9398852,0.9398852,0.9398852,0.9398852
570,0.6542055,0.08590891,0.08845452,0.10642645,0.07286356
571,0.41234404,0.072862186,0.057974566,0.06998115,0.042730946
572,0.34492382,0.05701162,0.110603996,0.09112831,0.05851317
573,0.69542736,0.08222598,0.08649724,0.09557274,0.078584716
574,0.5618874,0.5521006,0.5876557,0.5876557,0.5579062
575,0.4699158,0.038552925,0.079162806,0.059230607,0.030307496
576,0.48674384,0.5154597,0.53261226,0.53490317,0.5154597
577,0.09959105,0.07523788,0.06021565,0.08395688,0.071504116
578,0.6049565,0.1486766,0.1739846,0.15724367,0.15155512
579,0.87095004,0.87095004,0.87095004,0.87095004,0.87095004
580,0.30810386,0.30810386,0.30810386,0.30810386,0.30810386
581,0.24089603,0.24089603,0.24089603,0.24089603,0.24089603
582,0.031892933,0.115105286,0.08551955,0.11417784,0.090873495
583,0.2709224,0.15964271,0.17997582,0.1637924,0.17027193
584,0.18576251,0.12773171,0.15129735,0.15540922,0.12616196
585,0.3231164,0.32789072,0.37018847,0.35378438,0.35921392
586,0.13080497,0.18307905,0.27784064,0.30067733,0.15296222
587,0.0808683,0.08940816,0.07479068,0.09985021,0.068036415
588,0.0830071,0.0518658,0.05308608,0.058671918,0.05288486
589,0.12701221,0.084392115,0.07520396,0.088173494,0.07159774
590,0.61555004,0.10000889,0.104362294,0.111356854,0.09519603
591,0.071408115,0.071408115,0.071408115,0.071408115,0.071408115
592,0.047400437,0.047400437,0.047400437,0.047400437,0.047400437
593,0.40331775,0.53490317,0.5627492,0.5555712,0.559912
594,0.33922982,0.33922982,0.33922982,0.33922982,0.33922982
