,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
595,0.067996934,0.08056775,0.07135878,0.06838816,0.06786621
596,0.045265913,0.11983013,0.072006054,0.116225384,0.07761974
597,0.8062025,0.17824006,0.18579407,0.19224818,0.1831488
598,0.15938844,0.11172746,0.16585584,0.17967713,0.15152924
599,0.19613183,0.14929475,0.19296525,0.17082731,0.14874938
600,0.79006875,0.79006875,0.79006875,0.79006875,0.79006875
601,0.6351822,0.6351822,0.6351822,0.6351822,0.6351822
602,0.7736482,0.7736482,0.7736482,0.7736482,0.7736482
603,0.21700457,0.10038313,0.08701835,0.056006245,0.052530456
604,0.29946032,0.068573594,0.03438408,0.065683074,0.04073646
605,0.10174476,0.10174476,0.10174476,0.10174476,0.10174476
606,0.8155774,0.044970006,0.04764688,0.061637398,0.0465228
607,0.046693444,0.046693444,0.046693444,0.046693444,0.046693444
608,0.061975155,0.061975155,0.061975155,0.061975155,0.061975155
609,0.094658725,0.094658725,0.094658725,0.094658725,0.094658725
610,0.27685142,0.042909823,0.045337215,0.056971315,0.04603945
611,0.08420446,0.072427124,0.08904054,0.09416316,0.07789315
612,0.06574431,0.03796034,0.036905125,0.06222616,0.033411317
613,0.70188355,0.70188355,0.70188355,0.70188355,0.70188355
614,0.16339082,0.16339082,0.16339082,0.16339082,0.16339082
615,0.061214577,0.061214577,0.061214577,0.061214577,0.061214577
616,0.10853094,0.10853094,0.10853094,0.10853094,0.10853094
617,0.84269387,0.9433488,0.94832593,0.9480856,0.93232936
618,0.31089434,0.32030988,0.37851253,0.4074655,0.35277393
619,0.1692184,0.1692184,0.1692184,0.1692184,0.1692184
620,0.86180323,0.86180323,0.86180323,0.86180323,0.86180323
621,0.69542736,0.768258,0.7939126,0.774987,0.80462223
622,0.24101235,0.2822436,0.3561913,0.41889906,0.24082576
623,0.8785311,0.93232936,0.9480856,0.9409876,0.93232936
624,0.4790134,0.4560005,0.4889633,0.49051818,0.31089434
625,0.47571084,0.47571084,0.47571084,0.47571084,0.47571084
626,0.25965557,0.25965557,0.25965557,0.25965557,0.25965557
627,0.1250337,0.09580071,0.11635411,0.12732337,0.10456451
628,0.9480856,0.9480856,0.9480856,0.9480856,0.9480856
629,0.62227786,0.62227786,0.62227786,0.62227786,0.62227786
630,0.036555912,0.034201175,0.040189356,0.05884879,0.034797214
631,0.88824683,0.90173495,0.90996855,0.9018234,0.9008184
632,0.55832106,0.2403404,0.31089434,0.27525502,0.18403928
633,0.69542736,0.62184083,0.66408277,0.6594611,0.6051596
634,0.08044037,0.05016679,0.061656803,0.057962757,0.015242589
635,0.09147357,0.08812872,0.0767669,0.10127317,0.068575226
636,0.794439,0.794439,0.794439,0.794439,0.794439
637,0.084548905,0.043405063,0.04939342,0.080238,0.038099766
638,0.16471368,0.16471368,0.16471368,0.16471368,0.16471368
639,0.6289281,0.062244263,0.051216807,0.07090367,0.04730523
640,0.8060606,0.8060606,0.8060606,0.8060606,0.8060606
641,0.06861083,0.050736766,0.054720722,0.07147014,0.048378006
642,0.15285462,0.14956665,0.2649001,0.23145497,0.1305636
643,0.28813556,0.28813556,0.28813556,0.28813556,0.28813556
644,0.69542736,0.8229474,0.85968584,0.85265493,0.84504354
645,0.91315335,0.90808797,0.93232936,0.92009646,0.9266681
646,0.17526351,0.17526351,0.17526351,0.17526351,0.17526351
647,0.070521675,0.06842717,0.06910633,0.075859085,0.06398719
648,0.77661896,0.77661896,0.77661896,0.77661896,0.77661896
649,0.9352344,0.9324937,0.9464278,0.9338425,0.93576264
650,0.10288182,0.08285257,0.08241736,0.08893875,0.07841301
651,0.77384204,0.5876557,0.63125485,0.6363923,0.5744001
652,0.713141,0.09709829,0.082136765,0.11428559,0.085599504
653,0.27037388,0.25076434,0.28948784,0.30296338,0.27190742
654,0.22515786,0.22515786,0.22515786,0.22515786,0.22515786
655,0.37314853,0.37314853,0.37314853,0.37314853,0.37314853
656,0.1564175,0.027663795,0.025813213,0.038558494,0.017328395
657,0.97411436,0.969431,0.97686553,0.97352725,0.9768131
658,0.094876744,0.097675696,0.13065405,0.14262743,0.15073566
659,0.090431355,0.054382686,0.05793722,0.06908527,0.06163585
660,0.05695071,0.023240928,0.060177714,0.059115287,0.04947195
661,0.43915856,0.8010345,0.8406878,0.8277948,0.7688411
662,0.10437544,0.08602621,0.08915683,0.09509017,0.08873864
663,0.1171484,0.07973303,0.08906488,0.10041221,0.0992899
664,0.040274587,0.049941223,0.05068432,0.07332592,0.036406077
665,0.060301133,0.060301133,0.060301133,0.060301133,0.060301133
666,0.06265187,0.084701665,0.07064673,0.098438025,0.0730625
667,0.124383576,0.1234632,0.15469113,0.16730677,0.15095218
668,0.7093121,0.7093121,0.7093121,0.7093121,0.7093121
669,0.81576216,0.9112049,0.9252048,0.9156528,0.9263299
670,0.08404578,0.09071008,0.08932756,0.103811935,0.077305585
671,0.16316098,0.027543256,0.058789335,0.050797336,0.032973345
672,0.8606264,0.114619836,0.15045306,0.15270044,0.15198782
673,0.06641942,0.06641942,0.06641942,0.06641942,0.06641942
674,0.37723693,0.66247064,0.6663692,0.6722615,0.64781713
675,0.7385244,0.7385244,0.7385244,0.7385244,0.7385244
