,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
337,0.40986598,0.021587353,0.06923999,0.06272607,0.015369848
338,0.26460522,0.26460522,0.26460522,0.26460522,0.26460522
339,0.12639911,0.08306724,0.08192182,0.108718336,0.07245797
340,0.40336388,0.40336388,0.40336388,0.40336388,0.40336388
341,0.104497865,0.055467416,0.054989144,0.07054508,0.051937446
342,0.16344741,0.13374335,0.17404565,0.18141992,0.15296602
343,0.10420782,0.08385659,0.09288765,0.10671133,0.08186345
344,0.42196223,0.42196223,0.42196223,0.42196223,0.42196223
345,0.12417546,0.12417546,0.12417546,0.12417546,0.12417546
